Latitude (decimal degrees): 46.501
Longitude (decimal degrees): 11.362
Elevation (m): 267.0
month,year
1,2017
2,2006
3,2010
4,2008
5,2011
6,2012
7,2019
8,2007
9,2007
10,2005
11,2014
12,2013
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20170101:0000,-5.88,60.03,0.0,-0.0,0.0,191.19,0.41,46.0,99597.0
20170101:0100,-5.48,58.33,0.0,-0.0,0.0,192.64,0.4,49.0,99539.0
20170101:0200,-5.08,56.63,0.0,-0.0,0.0,194.09,0.39,48.0,99519.0
20170101:0300,-4.68,54.93,0.0,-0.0,0.0,195.54,0.38,47.0,99471.0
20170101:0400,-4.28,53.23,0.0,-0.0,0.0,196.99,0.37,46.0,99432.0
20170101:0500,-3.89,51.53,0.0,-0.0,0.0,198.44,0.36,44.0,99384.0
20170101:0600,-3.49,49.83,0.0,-0.0,0.0,199.89,0.35,43.0,99355.0
20170101:0700,-3.09,48.13,0.0,0.0,0.0,201.34,0.34,47.0,99345.0
20170101:0800,-4.4,54.8,35.0,0.0,35.0,198.2,0.34,44.0,99306.0
20170101:0900,-1.31,45.35,46.0,0.0,46.0,199.6,0.21,40.0,99297.0
20170101:1000,2.41,34.2,47.0,0.0,47.0,202.0,0.21,62.0,99316.0
20170101:1100,4.54,31.95,365.0,880.69,57.0,205.8,0.14,134.0,99180.0
20170101:1200,5.52,31.5,348.0,899.91,48.0,207.8,0.34,172.0,99006.0
20170101:1300,5.74,33.25,277.0,854.63,42.0,208.6,0.41,182.0,98899.0
20170101:1400,5.52,34.55,159.0,666.61,40.0,208.0,0.21,197.0,98870.0
20170101:1500,5.14,34.0,16.0,0.0,16.0,204.8,0.07,181.0,98851.0
20170101:1600,4.68,35.1,0.0,-0.0,0.0,203.4,0.21,132.0,98861.0
20170101:1700,4.03,36.65,0.0,-0.0,0.0,203.2,0.28,99.0,98861.0
20170101:1800,3.23,38.7,0.0,-0.0,0.0,202.6,0.28,85.0,98880.0
20170101:1900,1.54,41.15,0.0,-0.0,0.0,200.4,0.28,79.0,98880.0
20170101:2000,0.96,42.65,0.0,-0.0,0.0,199.6,0.21,69.0,98890.0
20170101:2100,0.37,44.1,0.0,-0.0,0.0,198.2,0.21,72.0,98880.0
20170101:2200,-0.24,45.55,0.0,-0.0,0.0,196.6,0.28,68.0,98967.0
20170101:2300,-0.93,47.2,0.0,-0.0,0.0,195.2,0.21,68.0,98948.0
20170102:0000,-1.67,48.9,0.0,-0.0,0.0,194.2,0.28,64.0,98938.0
20170102:0100,-2.21,50.5,0.0,-0.0,0.0,193.4,0.28,61.0,98938.0
20170102:0200,-2.86,51.9,0.0,-0.0,0.0,192.6,0.28,57.0,98928.0
20170102:0300,-3.47,53.0,0.0,-0.0,0.0,191.8,0.28,55.0,98928.0
20170102:0400,-3.98,53.65,0.0,-0.0,0.0,190.0,0.28,52.0,98880.0
20170102:0500,-4.42,54.0,0.0,-0.0,0.0,189.8,0.34,51.0,98851.0
20170102:0600,-4.79,53.95,0.0,-0.0,0.0,189.4,0.34,52.0,98832.0
20170102:0700,-6.35,57.5,0.0,0.0,0.0,191.0,0.34,52.0,98822.0
20170102:0800,-6.24,56.45,34.0,0.0,34.0,193.0,0.41,41.0,98803.0
20170102:0900,-2.49,44.9,46.0,0.0,46.0,194.4,0.28,52.0,98803.0
20170102:1000,1.5,37.85,51.0,0.0,51.0,198.6,0.28,97.0,98841.0
20170102:1100,3.78,33.0,370.0,914.31,49.0,199.2,0.34,154.0,98696.0
20170102:1200,4.89,32.85,350.0,901.38,48.0,203.4,0.48,171.0,98522.0
20170102:1300,5.2,34.55,269.0,747.54,62.0,205.0,0.48,175.0,98405.0
20170102:1400,4.88,52.2,145.0,464.98,61.0,204.6,0.28,172.0,98338.0
20170102:1500,4.84,35.45,16.0,0.0,16.0,205.4,0.34,158.0,98299.0
20170102:1600,4.33,37.4,0.0,-0.0,0.0,206.2,0.41,131.0,98270.0
20170102:1700,3.74,39.3,0.0,-0.0,0.0,230.2,0.48,105.0,98260.0
20170102:1800,3.19,40.8,0.0,-0.0,0.0,233.4,0.55,76.0,98289.0
20170102:1900,2.61,40.25,0.0,-0.0,0.0,244.0,0.69,50.0,98318.0
20170102:2000,2.44,41.05,0.0,-0.0,0.0,246.2,0.9,39.0,98357.0
20170102:2100,1.15,48.2,0.0,-0.0,0.0,248.8,1.03,33.0,98434.0
20170102:2200,0.36,54.0,0.0,-0.0,0.0,256.4,1.1,31.0,98425.0
20170102:2300,-0.19,57.05,0.0,-0.0,0.0,245.8,1.1,31.0,98531.0
20170103:0000,-0.64,59.7,0.0,-0.0,0.0,236.6,1.1,29.0,98628.0
20170103:0100,-0.75,61.3,0.0,-0.0,0.0,221.8,1.1,30.0,98696.0
20170103:0200,-1.52,63.15,0.0,-0.0,0.0,229.0,1.1,24.0,98803.0
20170103:0300,-2.12,62.75,0.0,-0.0,0.0,226.0,1.17,20.0,98880.0
20170103:0400,-2.66,62.0,0.0,-0.0,0.0,210.4,1.1,24.0,98958.0
20170103:0500,-2.94,60.35,0.0,-0.0,0.0,201.2,1.03,25.0,99025.0
20170103:0600,-3.03,58.55,0.0,-0.0,0.0,198.6,0.9,29.0,99103.0
20170103:0700,-2.38,56.55,0.0,0.0,0.0,192.2,0.83,32.0,99219.0
20170103:0800,-2.99,57.65,31.0,0.0,31.0,191.2,0.83,36.0,99345.0
